image_id,error_space,error_type,error_rate,seed,bpp,psnr,ssim,ms_ssim,lpips,decode_failed
house,bitstream,burst,1.0,233,0.1231689453125,9.454703330993652,0.11505381762981415,0.16726712882518768,0.8289317488670349,False
house,bitstream,burst,1.0,234,0.1231689453125,10.492377281188965,0.14996522665023804,0.09981179982423782,1.058082938194275,False
house,bitstream,burst,1.0,235,0.1231689453125,8.999526977539062,0.13719268143177032,0.10857462137937546,1.0027302503585815,False
house,bitstream,burst,2.0,231,0.1231689453125,11.158853530883789,0.15640294551849365,0.20881380140781403,0.6837283372879028,False
house,bitstream,burst,2.0,232,0.1231689453125,9.027545928955078,0.15685346722602844,0.10087011009454727,1.097583532333374,False
house,bitstream,burst,2.0,233,0.1231689453125,0.0,0.0,0.0,1.0,True
house,bitstream,burst,2.0,234,0.1231689453125,9.902509689331055,0.15003147721290588,0.10549216717481613,1.0282551050186157,False
house,bitstream,burst,2.0,235,0.1231689453125,10.65356731414795,0.1399451047182083,0.20754887163639069,0.6819002628326416,False
house,bitstream,burst,5.0,231,0.1231689453125,7.859986305236816,0.1489974856376648,0.12236213684082031,0.9331218600273132,False
house,bitstream,burst,5.0,232,0.1231689453125,0.0,0.0,0.0,1.0,True
house,bitstream,burst,5.0,233,0.1231689453125,0.0,0.0,0.0,1.0,True
house,bitstream,burst,5.0,234,0.1231689453125,0.0,0.0,0.0,1.0,True
house,bitstream,burst,5.0,235,0.1231689453125,0.0,0.0,0.0,1.0,True
